,name,description,homepage,resource,category,projectrank,show,pypi_id,github_id,conda_id,github_url,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,updated_github_id,trending,cran_id,pypi,go_id,go_url,gem_id,hex_id,docs_url,bitbucket_id
39,KubeSpawner,Kubernetes spawner for JupyterHub.,https://github.com/jupyterhub/kubespawner,,hub-spawners,30,True,jupyterhub-kubespawner,jupyterhub/kubespawner,conda-forge/jupyterhub-kubespawner,https://github.com/jupyterhub/kubespawner,BSD-3-Clause,2015-11-21 07:02:52.000,2024-02-06 07:26:25.000000,2024-02-06 07:26:24,1599.0,15.0,304.0,28.0,463.0,85.0,282.0,512.0,2023-11-23 11:08:31.000,6.2.0,,65451.0,38.0,174.0,159.0,84.0,https://pypi.org/project/jupyterhub-kubespawner,2023-11-23 11:08:31.000,15.0,64874.0,https://anaconda.org/conda-forge/jupyterhub-kubespawner,2023-11-23 12:55:19.939,20773.0,1.0,,,,,,,,,,,,,,,,,,,,
40,OAuthenticator,OAuth + JupyterHub Authenticator = OAuthenticator.,https://github.com/jupyterhub/oauthenticator,,hub-auth,30,True,oauthenticator,jupyterhub/oauthenticator,conda-forge/oauthenticator,https://github.com/jupyterhub/oauthenticator,BSD-3-Clause,2014-09-23 21:37:06.000,2024-03-07 12:34:18.000000,2024-02-13 09:23:34,1590.0,45.0,359.0,20.0,436.0,54.0,248.0,394.0,2023-11-27 17:40:41.000,16.2.1,,29098.0,44.0,457.0,408.0,121.0,https://pypi.org/project/oauthenticator,2023-11-27 17:40:41.000,49.0,27958.0,https://anaconda.org/conda-forge/oauthenticator,2023-11-28 06:31:15.831,46743.0,1.0,,,,,,,,,,,,,,,,,,,,
41,sos,SoS workflow system for daily data analysis.,https://github.com/vatlab/sos,,notebook-environments,30,True,sos-notebook,vatlab/SOS,conda-forge/sos,https://github.com/vatlab/sos,BSD-3-Clause,2016-02-13 00:46:46.000,2024-02-19 02:32:18.056000,2024-02-17 22:21:19,7647.0,53.0,40.0,8.0,76.0,68.0,1388.0,262.0,2023-09-25 05:56:08.000,0.24.4,,5565.0,168.0,5497.0,5461.0,36.0,https://pypi.org/project/sos-notebook,2023-09-25 05:56:08.000,36.0,1942.0,https://anaconda.org/conda-forge/sos,2024-02-19 02:32:18.056,166674.0,2.0,,,,,,,,,,,,,,,,,,,,
42,JupyterLab Debugger,"A visual debugger for Jupyter notebooks, consoles, and source files.",https://github.com/jupyterlab/debugger,,lab-extensions,29,False,,jupyterlab/debugger,,https://github.com/jupyterlab/debugger,BSD-3-Clause,2019-07-19 18:19:17.000,2024-03-05 12:44:06.646000,2021-03-31 14:20:34,1174.0,,2993.0,20.0,322.0,31.0,245.0,13657.0,2024-03-04 22:50:18.169,4.1.3,,67177.0,248.0,11.0,,11.0,,,,,,,,1.0,@jupyterlab/debugger,https://www.npmjs.com/package/@jupyterlab/debugger,2024-03-05 12:44:06.646,11.0,67177.0,,,,,,,8.0,,,,,,,,
43,BeakerX,Beaker Extensions for Jupyter Notebook.,https://github.com/twosigma/beakerx,,notebook-tools,29,False,beakerx,twosigma/beakerx,conda-forge/beakerx,https://github.com/twosigma/beakerx,Apache-2.0,2013-12-03 14:16:36.000,2024-02-23 15:45:03.000000,2021-01-21 14:02:57,1689.0,,382.0,123.0,3798.0,352.0,4176.0,2792.0,2024-02-23 15:45:03.000,2.4.0,35.0,15893.0,56.0,25.0,,81.0,https://pypi.org/project/beakerx,2024-02-23 15:45:03.000,22.0,5752.0,https://anaconda.org/conda-forge/beakerx,2023-06-16 13:23:56.494,622043.0,2.0,beakerx,https://www.npmjs.com/package/beakerx,2019-04-06 03:31:02.776,3.0,139.0,beakerx/beakerx,https://hub.docker.com/r/beakerx/beakerx,2018-12-02 20:23:21.082606,23.0,249472.0,,,,,,,,,,
44,nbgrader,A system for assigning and grading notebooks.,https://github.com/jupyter/nbgrader,,jupyter-extensions,29,True,nbgrader,jupyter/nbgrader,conda-forge/nbgrader,https://github.com/jupyter/nbgrader,BSD-3-Clause,2014-09-13 03:27:36.000,2024-03-05 21:34:53.000000,2024-03-05 21:34:50,3412.0,3.0,293.0,44.0,938.0,244.0,654.0,1250.0,2023-09-05 12:35:02.000,0.9.1,320.0,13272.0,34.0,529.0,529.0,105.0,https://pypi.org/project/nbgrader,,,8940.0,https://anaconda.org/conda-forge/nbgrader,2023-09-13 22:27:45.981,155861.0,1.0,,,,,,,,,,,,,,,,,,,,
45,Stencila,"Programmable, reproducible, interactive documents.",https://github.com/stencila/stencila,,notebook-sharing,29,True,,stencila/stencila,,https://github.com/stencila/stencila,Apache-2.0,2012-05-31 02:43:31.000,2024-03-07 07:38:41.000000,2024-03-07 00:46:39,12773.0,1100.0,49.0,28.0,1395.0,94.0,616.0,758.0,2024-03-06 01:58:19.000,2.0.0-alpha.25,4098.0,268.0,100.0,30.0,20.0,43.0,,,,,,,,2.0,stencila,https://www.npmjs.com/package/stencila,2020-11-06 15:20:04.059,10.0,17.0,stencila/cloud,https://hub.docker.com/r/stencila/cloud,2019-04-08 04:14:51.284193,,16469.0,,,,,,,,,,
46,DockerSpawner,Spawns JupyterHub single user servers in Docker containers.,https://github.com/jupyterhub/dockerspawner,,hub-spawners,29,True,dockerspawner,jupyterhub/dockerspawner,conda-forge/dockerspawner,https://github.com/jupyterhub/dockerspawner,BSD-3-Clause,2014-09-26 20:08:26.000,2024-02-13 09:36:38.000000,2024-02-01 09:28:10,725.0,6.0,309.0,27.0,243.0,25.0,250.0,469.0,2023-11-21 14:14:18.000,13.0.0,,73717.0,17.0,210.0,183.0,69.0,https://pypi.org/project/dockerspawner,2023-11-21 14:14:18.000,27.0,73047.0,https://anaconda.org/conda-forge/dockerspawner,2023-11-21 14:56:25.623,20772.0,2.0,,,,,,,,,,,,,,,,,,,,
47,Jupyter Client,Jupyter protocol client APIs.,https://github.com/jupyter/jupyter_client,,notebook-tools,29,True,jupyter-client,jupyter/jupyter_client,conda-forge/jupyter_client,https://github.com/jupyter/jupyter_client,BSD-3-Clause,2015-04-09 06:57:29.000,2024-03-04 15:58:59.000000,2024-03-04 15:58:58,2594.0,6.0,266.0,34.0,641.0,173.0,198.0,349.0,2023-11-06 12:55:30.000,8.6.0,1505.0,29214650.0,64.0,,,131.0,https://pypi.org/project/jupyter-client,,,28744509.0,https://anaconda.org/conda-forge/jupyter_client,2023-11-06 15:36:13.460,20684098.0,2.0,,,,,,,,,,,,,,,,,,,,
48,facets-overview,Visualizations for machine learning datasets.,https://github.com/PAIR-code/facets,,widgets,28,True,facets-overview,pair-code/facets,,https://github.com/PAIR-code/facets,Apache-2.0,2017-07-07 14:03:03.000,2023-05-24 15:56:22.000000,2023-05-24 15:56:22,277.0,,876.0,267.0,98.0,78.0,81.0,7297.0,2019-07-01 16:35:20.000,1.0.0,,182862.0,4.0,221.0,221.0,31.0,https://pypi.org/project/facets-overview,,,182862.0,,,,2.0,,,,,,,,,,,,,,,,,,,,
49,RISE,RISE: Live Reveal.js Jupyter/IPython Slideshow Extension.,https://github.com/damianavila/RISE,,notebook-sharing,28,True,RISE,damianavila/RISE,conda-forge/rise,https://github.com/damianavila/RISE,BSD-3-Clause,2013-08-26 18:55:36.000,2023-10-29 13:51:07.000000,2023-10-29 13:51:05,770.0,,414.0,84.0,199.0,155.0,294.0,3639.0,2020-10-29 01:31:20.000,5.7.1,,13442.0,31.0,2942.0,2769.0,44.0,https://pypi.org/project/RISE,2022-11-03 16:45:29.021,171.0,9479.0,https://anaconda.org/conda-forge/rise,2023-06-16 16:08:42.704,288696.0,2.0,rise-reveal,https://www.npmjs.com/package/rise-reveal,2019-07-03 12:51:16.722,2.0,9.0,,,,,,,,,,,,,,,
50,elyra,Elyra extends JupyterLab with an AI centric approach.,https://github.com/elyra-ai/elyra,,lab-extensions,28,True,elyra,elyra-ai/elyra,conda-forge/elyra,https://github.com/elyra-ai/elyra,Apache-2.0,2019-10-22 21:37:58.000,2024-02-27 16:35:14.000000,2024-02-15 05:37:04,1912.0,6.0,314.0,43.0,1483.0,257.0,1356.0,1748.0,2023-03-29 14:23:28.000,3.15.0,,5560.0,29.0,54.0,54.0,62.0,https://pypi.org/project/elyra,,,4389.0,https://anaconda.org/conda-forge/elyra,2023-06-16 19:21:23.887,43785.0,1.0,@elyra/services,https://www.npmjs.com/package/@elyra/services,,,153.0,,,,,,,,,,,,,,,
51,itkwidgets,An elegant Python interface for visualization on the web platform to interactively generate insights into..,https://github.com/InsightSoftwareConsortium/itkwidgets,,widgets,28,True,itkwidgets,InsightSoftwareConsortium/itkwidgets,conda-forge/itkwidgets,https://github.com/InsightSoftwareConsortium/itkwidgets,Apache-2.0,2018-02-15 01:43:39.000,2024-02-02 22:04:17.000000,2024-02-02 22:02:58,612.0,101.0,83.0,26.0,464.0,113.0,162.0,569.0,2023-03-02 22:39:43.651,0.32.6,87.0,16551.0,117.0,312.0,291.0,27.0,https://pypi.org/project/itkwidgets,2024-02-02 22:04:17.000,18.0,10600.0,https://anaconda.org/conda-forge/itkwidgets,2023-06-16 16:12:17.646,346719.0,2.0,itkwidgets,https://www.npmjs.com/package/itkwidgets,2023-03-02 22:39:43.651,3.0,533.0,,,,,,,,,,,,,,,
52,nbval,A py.test plugin to validate Jupyter notebooks.,https://github.com/computationalmodelling/nbval,,notebook-tools,28,True,nbval,computationalmodelling/nbval,conda-forge/nbval,https://github.com/computationalmodelling/nbval,BSD-3-Clause,2015-04-09 09:40:33.000,2024-03-04 16:04:14.390000,2024-03-04 14:35:29,475.0,10.0,51.0,11.0,98.0,48.0,66.0,428.0,2024-03-04 14:36:57.000,0.11.0,,169972.0,21.0,3282.0,2912.0,33.0,https://pypi.org/project/nbval,2024-03-04 14:36:57.000,370.0,160462.0,https://anaconda.org/conda-forge/nbval,2024-03-04 16:04:14.390,418446.0,2.0,,,,,,,,,,,,3.0,,,,,,,,
53,Jupyter Sphinx,Sphinx extension for rendering of Jupyter interactive widgets.,https://github.com/jupyter/jupyter-sphinx,,notebook-tools,28,True,jupyter_sphinx,jupyter/jupyter-sphinx,conda-forge/jupyter_sphinx,https://github.com/jupyter/jupyter-sphinx,BSD-3-Clause,2016-11-15 18:36:37.000,2024-03-04 12:42:39.000000,2024-03-04 12:42:36,427.0,40.0,65.0,24.0,120.0,59.0,109.0,180.0,2023-12-28 12:19:39.000,0.5.3,,80715.0,21.0,291.0,,28.0,https://pypi.org/project/jupyter_sphinx,2023-12-28 12:19:39.000,291.0,75232.0,https://anaconda.org/conda-forge/jupyter_sphinx,2024-01-27 18:09:27.331,241260.0,2.0,,,,,,,,,,,,,,,,,,,,
54,PixieDust,Python Helper library for Jupyter Notebooks.,https://github.com/pixiedust/pixiedust,,notebook-tools,27,False,pixiedust,pixiedust/pixiedust,conda-forge/pixiedust,https://github.com/pixiedust/pixiedust,Apache-2.0,2016-07-01 17:34:14.000,2023-06-16 16:19:15.930000,2021-02-16 04:46:41,2157.0,,162.0,42.0,374.0,164.0,261.0,1034.0,2021-02-01 03:34:36.000,1.1.19,,16340.0,92.0,292.0,263.0,33.0,https://pypi.org/project/pixiedust,2021-02-01 03:34:36.000,29.0,15397.0,https://anaconda.org/conda-forge/pixiedust,2023-06-16 16:19:15.930,49085.0,2.0,,,,,,,,,,,,,,,,,,,,
55,jupyter-dash,OBSOLETE - Dash v2.11+ has Jupyter support built in!.,https://github.com/plotly/jupyter-dash,,widgets,27,True,jupyter-dash,plotly/jupyter-dash,conda-forge/jupyter-dash,https://github.com/plotly/jupyter-dash,MIT,2020-04-26 18:43:59.000,2024-03-06 18:39:55.000000,2023-08-11 17:18:48,162.0,,237.0,46.0,49.0,52.0,29.0,945.0,2022-04-01 20:13:44.000,0.4.2,99.0,159811.0,14.0,3747.0,3671.0,10.0,https://pypi.org/project/jupyter-dash,2022-04-01 20:05:08.000,73.0,148835.0,https://anaconda.org/conda-forge/jupyter-dash,2023-06-16 19:23:51.624,355505.0,2.0,jupyterlab-dash,https://www.npmjs.com/package/jupyterlab-dash,2021-01-22 17:06:54.671,3.0,2087.0,,,,,,,,,,,,,,,
56,ipyvuetify,Jupyter widgets based on vuetify UI components.,https://github.com/widgetti/ipyvuetify,,widgets,27,True,ipyvuetify,mariobuikhuizen/ipyvuetify,conda-forge/ipyvuetify,https://github.com/widgetti/ipyvuetify,MIT,2019-05-14 17:35:51.000,2024-03-01 12:38:40.000000,2024-03-01 12:38:22,282.0,15.0,54.0,16.0,95.0,67.0,137.0,327.0,2024-03-01 11:48:07.701,1.9.1,,119007.0,60.0,1145.0,1096.0,14.0,https://pypi.org/project/ipyvuetify,2024-03-01 11:48:01.000,45.0,104501.0,https://anaconda.org/conda-forge/ipyvuetify,2023-06-16 16:15:58.169,160104.0,2.0,jupyter-vuetify,https://www.npmjs.com/package/jupyter-vuetify,2024-03-01 11:48:07.701,4.0,11647.0,,,,,,widgetti/ipyvuetify,,,,,,,,,
57,Jupyter Themes,Custom Jupyter Notebook Themes.,https://github.com/dunovank/jupyter-themes,,jupyter-extensions,26,True,jupyterthemes,dunovank/jupyter-themes,,https://github.com/dunovank/jupyter-themes,MIT,2014-12-10 23:22:23.000,2023-10-18 13:16:38.000000,2023-10-18 13:16:38,638.0,,1061.0,159.0,79.0,195.0,202.0,9705.0,,,,93602.0,,21.0,21.0,43.0,https://pypi.org/project/jupyterthemes,,,93602.0,,,,1.0,,,,,,,,,,,,,,,,,,,,
58,Contrib NBextensions,A collection of various notebook extensions for Jupyter.,https://github.com/ipython-contrib/jupyter_contrib_nbextensions,,jupyter-extensions,26,False,jupyter_contrib_nbextensions,ipython-contrib/jupyter_contrib_nbextensions,conda-forge/jupyter_contrib_nbextensions,https://github.com/ipython-contrib/jupyter_contrib_nbextensions,,2013-07-13 17:05:16.000,2024-01-03 13:58:38.000000,2022-12-21 19:56:24,2660.0,,787.0,135.0,851.0,344.0,462.0,5155.0,2022-11-15 17:24:23.000,0.7.0,,428553.0,16.0,20.0,20.0,135.0,https://pypi.org/project/jupyter_contrib_nbextensions,,,407799.0,https://anaconda.org/conda-forge/jupyter_contrib_nbextensions,2023-06-16 13:22:12.750,1888686.0,1.0,,,,,,,,,,,,-4.0,,,,,,,,
59,Evcxr,"An evaluation context for Rust, including a Jupyter Kernel.",https://github.com/evcxr/evcxr,,kernels,26,True,,evcxr/evcxr,,https://github.com/evcxr/evcxr,MIT,2018-09-25 10:19:22.000,2024-03-06 01:27:19.000000,2024-03-06 01:26:25,692.0,18.0,209.0,56.0,101.0,98.0,143.0,5086.0,2023-12-17 00:16:37.000,0.17.0,3896.0,216.0,7.0,161.0,161.0,49.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,
60,docker-python,Kaggle Python docker image.,https://github.com/Kaggle/docker-python,,notebook-environments,26,True,,kaggle/docker-python,,https://github.com/Kaggle/docker-python,Apache-2.0,2015-04-14 01:45:38.000,2024-02-27 18:32:51.000000,2024-02-27 18:32:50,2327.0,33.0,876.0,93.0,1009.0,32.0,316.0,2492.0,2024-02-22 18:05:44.000,e23c22630b6d9c427cbe8c1aa205f5e70a0f46c9aa0d3c835c6f0469306fa1aa,,1827.0,100.0,,,158.0,,,,,,,,3.0,,,,,,kaggle/python,https://hub.docker.com/r/kaggle/python,2024-02-22 18:03:33.643179,180.0,195527.0,,,,,,,,,,
61,DataLab,Interactive tools and developer experiences for Big Data on Google Cloud Platform.,https://github.com/googledatalab/datalab,,notebook-environments,26,False,datalab,googledatalab/datalab,,https://github.com/googledatalab/datalab,Apache-2.0,2014-08-06 18:37:34.000,2022-09-02 21:15:20.926000,2022-09-02 20:50:03,2055.0,,261.0,81.0,1293.0,232.0,667.0,977.0,2022-09-02 21:15:20.926,1.2.1,,104163.0,19.0,12.0,,53.0,https://pypi.org/project/datalab,2022-09-02 21:15:20.926,12.0,104163.0,,,,3.0,,,,,,,,,,,,,,,,,,,,
62,LFortran,Official main repository for LFortran.,https://github.com/lfortran/lfortran,,kernels,26,False,lfortran,lfortran/lfortran,conda-forge/lfortran,https://github.com/lfortran/lfortran,,2019-03-24 13:22:20.000,2024-03-07 08:50:41.000000,2024-03-06 20:30:01,15090.0,1128.0,115.0,22.0,1812.0,992.0,796.0,844.0,2024-01-31 00:26:53.000,0.33.1,785.0,2000.0,34.0,,,76.0,https://pypi.org/project/lfortran,,,72.0,https://anaconda.org/conda-forge/lfortran,2024-01-31 04:39:12.114,79887.0,1.0,,,,,,,,,,,,,,,,,,,,
63,itables,Pandas DataFrames as Interactive DataTables.,https://github.com/mwouts/itables,,widgets,26,True,itables,mwouts/itables,conda-forge/itables,https://github.com/mwouts/itables,MIT,2019-04-15 22:09:44.000,2024-03-06 00:14:49.488000,2024-03-05 21:29:17,229.0,11.0,45.0,11.0,118.0,19.0,98.0,569.0,2024-03-05 21:30:34.000,1.7.1,,172533.0,46.0,434.0,434.0,6.0,https://pypi.org/project/itables,,,170952.0,https://anaconda.org/conda-forge/itables,2024-03-06 00:14:49.488,41108.0,2.0,,,,,,,,,,,,,,,,,,,,
64,jdaviz,JWST astronomical data analysis tools in the Jupyter platform.,https://github.com/spacetelescope/jdaviz,,widgets,26,True,jdaviz,spacetelescope/jdaviz,,https://github.com/spacetelescope/jdaviz,BSD-3-Clause,2019-05-07 17:54:06.000,2024-03-06 19:51:49.000000,2024-03-06 18:50:39,4974.0,285.0,56.0,19.0,1751.0,320.0,661.0,116.0,2024-02-23 18:49:23.000,3.8.2,,1799.0,33.0,40.0,40.0,32.0,https://pypi.org/project/jdaviz,,,1799.0,,,,2.0,,,,,,,,,,,,,,,,,,,,
65,Knowledge Repo,A next-generation curated knowledge sharing platform for data scientists and other technical professions.,https://github.com/airbnb/knowledge-repo,,notebook-sharing,25,True,knowledge-repo,airbnb/knowledge-repo,,https://github.com/airbnb/knowledge-repo,Apache-2.0,2016-08-17 23:32:50.000,2023-07-20 11:16:46.000000,2023-04-17 04:04:39,1329.0,,655.0,174.0,478.0,124.0,167.0,5421.0,2023-02-22 03:46:18.000,0.9.3,,766.0,33.0,21.0,21.0,73.0,https://pypi.org/project/knowledge-repo,,,766.0,,,,2.0,,,,,,,,,,,,,,,,,,,,
66,lux,Automatically visualize your pandas dataframe via a single print!.,https://github.com/lux-org/lux,,widgets,25,True,lux-api,lux-org/lux,conda-forge/lux-api,https://github.com/lux-org/lux,Apache-2.0,2020-01-08 04:53:29.000,2023-07-12 17:45:36.000000,2023-07-04 23:34:35,692.0,,350.0,90.0,262.0,73.0,160.0,4891.0,2022-02-19 00:48:20.000,0.5.1,,4485.0,12.0,183.0,183.0,21.0,https://pypi.org/project/lux-api,,,3525.0,https://anaconda.org/conda-forge/lux-api,2023-06-16 19:24:44.344,22044.0,2.0,luxwidget,https://www.npmjs.com/package/luxwidget,,,365.0,,,,,,,,,,,,,,,
67,mercury,Convert Jupyter Notebooks to Web Apps.,https://github.com/mljar/mercury,,notebook-tools,25,True,mljar-mercury,mljar/mercury,,https://github.com/mljar/mercury,AGPL-3.0,2021-12-20 13:43:44.000,2024-03-07 12:11:53.000000,2024-03-07 12:11:53,801.0,15.0,235.0,45.0,28.0,59.0,336.0,3726.0,2023-10-26 12:41:21.000,2.3.7,,352.0,40.0,101.0,101.0,13.0,https://pypi.org/project/mljar-mercury,,,352.0,,,,2.0,,,,,,,,,,,,,,,,,,,,
68,qgrid,"An interactive grid for sorting, filtering, and editing DataFrames in Jupyter notebooks.",https://github.com/quantopian/qgrid,,widgets,25,False,qgrid,quantopian/qgrid,conda-forge/qgrid,https://github.com/quantopian/qgrid,Apache-2.0,2014-09-30 04:33:20.000,2024-01-12 07:28:07.000000,2020-04-07 18:56:49,405.0,,407.0,88.0,105.0,159.0,127.0,3016.0,2020-04-07 16:34:17.000,1.3.1,,52722.0,21.0,12.0,12.0,30.0,https://pypi.org/project/qgrid,,,46852.0,https://anaconda.org/conda-forge/qgrid,2023-06-16 16:08:00.950,400816.0,2.0,qgrid,https://www.npmjs.com/package/qgrid,,,380.0,,,,,,,,,,,,,,,
69,nbviewer,nbconvert as a web service: Render Jupyter Notebooks as static web pages.,https://github.com/jupyter/nbviewer,,notebook-sharing,25,False,,jupyter/nbviewer,,https://github.com/jupyter/nbviewer,BSD-3-Clause,2012-08-05 11:42:33.000,2024-01-18 15:09:51.000000,2023-01-27 08:04:32,1494.0,,527.0,93.0,463.0,178.0,407.0,2185.0,,,,20086.0,,17.0,17.0,96.0,,,,,,,,2.0,,,,,,jupyter/nbviewer,https://hub.docker.com/r/jupyter/nbviewer,2023-01-27 08:07:14.487852,33.0,2791994.0,,,,,,,,,,
70,ipyvizzu,Build animated charts in Jupyter Notebook and similar environments with a simple Python syntax.,https://github.com/vizzuhq/ipyvizzu,,widgets,25,True,ipyvizzu,vizzuhq/ipyvizzu,,https://github.com/vizzuhq/ipyvizzu,Apache-2.0,2022-01-05 22:37:39.000,2024-02-26 10:44:33.000000,2024-02-26 10:44:32,1211.0,56.0,89.0,15.0,206.0,11.0,77.0,909.0,2023-12-21 10:25:27.000,0.17.0,119.0,803.0,24.0,111.0,111.0,21.0,https://pypi.org/project/ipyvizzu,,,799.0,,,,2.0,,,,,,,,,,,,,,,,,,,,
71,ipydatagrid,Fast Datagrid widget for the Jupyter Notebook and JupyterLab.,https://github.com/bloomberg/ipydatagrid,,widgets,25,True,ipydatagrid,bloomberg/ipydatagrid,conda-forge/ipydatagrid,https://github.com/bloomberg/ipydatagrid,BSD-3-Clause,2019-07-19 09:06:19.000,2024-02-29 14:51:43.000000,2024-02-29 14:51:42,811.0,20.0,47.0,17.0,353.0,55.0,77.0,484.0,2024-01-26 14:58:40.000,1.2.1,,15987.0,39.0,133.0,133.0,21.0,https://pypi.org/project/ipydatagrid,,,12478.0,https://anaconda.org/conda-forge/ipydatagrid,2024-01-26 16:24:22.470,57629.0,2.0,ipydatagrid,https://www.npmjs.com/package/ipydatagrid,,,1952.0,,,,,,,,,,,,,,,
72,Metakernel,Jupyter/IPython Kernel Tools.,https://github.com/Calysto/metakernel,,kernels,25,True,metakernel,Calysto/metakernel,conda-forge/metakernel,https://github.com/Calysto/metakernel,BSD-3-Clause,2014-08-24 20:53:45.000,2024-02-12 13:42:25.000000,2024-02-12 13:42:24,1151.0,1.0,86.0,17.0,129.0,31.0,116.0,331.0,2023-09-11 18:36:42.000,0.30.1,159.0,48301.0,99.0,926.0,848.0,34.0,https://pypi.org/project/metakernel,2023-09-11 18:36:35.000,78.0,30506.0,https://anaconda.org/conda-forge/metakernel,2023-09-11 20:10:34.918,765005.0,1.0,,,,,,,,,,,,,,,,,,,,
73,mkdocs-jupyter,Use Jupyter Notebook in mkdocs.,https://github.com/danielfrg/mkdocs-jupyter,,notebook-sharing,25,True,mkdocs-jupyter,danielfrg/mkdocs-jupyter,conda-forge/mkdocs-jupyter,https://github.com/danielfrg/mkdocs-jupyter,Apache-2.0,2019-12-18 02:11:34.000,2024-02-14 03:18:21.000000,2024-02-14 03:18:20,233.0,4.0,36.0,5.0,78.0,20.0,92.0,316.0,,,,152729.0,20.0,2043.0,2043.0,21.0,https://pypi.org/project/mkdocs-jupyter,,,151354.0,https://anaconda.org/conda-forge/mkdocs-jupyter,2023-10-15 20:44:27.551,55037.0,2.0,,,,,,,,,,,,,,,,,,,,
74,ipycytoscape,A Cytoscape Jupyter widget.,https://github.com/cytoscape/ipycytoscape,,widgets,25,True,ipycytoscape,cytoscape/ipycytoscape,conda-forge/ipycytoscape,https://github.com/cytoscape/ipycytoscape,BSD-3-Clause,2020-02-05 13:46:52.000,2024-01-01 17:45:14.000000,2023-05-23 19:06:45,716.0,,61.0,30.0,191.0,61.0,99.0,257.0,2022-03-28 22:52:15.000,1.3.1,4.0,36987.0,19.0,195.0,195.0,32.0,https://pypi.org/project/ipycytoscape,,,28595.0,https://anaconda.org/conda-forge/ipycytoscape,2023-06-16 19:18:19.577,369176.0,2.0,jupyter-cytoscape,https://www.npmjs.com/package/jupyter-cytoscape,,,701.0,,,,,,,,,,,,,,,
75,.NET Interactive,".NET Interactive combines the power of .NET with many other languages to create notebooks, REPLs, and embedded coding..",https://github.com/dotnet/interactive,,kernels,24,True,,dotnet/interactive,,https://github.com/dotnet/interactive,MIT,2020-01-22 00:39:04.000,2024-03-06 08:11:44.000000,2024-03-04 17:50:07,5107.0,59.0,363.0,64.0,1870.0,496.0,999.0,2688.0,2023-12-05 19:01:38.000,1.0.4605020,439.0,12.0,26.0,,,118.0,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,
76,ipyparallel,IPython Parallel: Interactive Parallel Computing in Python.,https://github.com/ipython/ipyparallel,,notebook-tools,24,False,ipyparallel,ipython/ipyparallel,conda-forge/ipyparallel,https://github.com/ipython/ipyparallel,,2015-04-09 07:43:55.000,2024-03-06 11:23:30.000000,2024-03-05 12:03:02,2891.0,32.0,969.0,122.0,510.0,57.0,298.0,2536.0,,,,308173.0,29.0,,,113.0,https://pypi.org/project/ipyparallel,,,284711.0,https://anaconda.org/conda-forge/ipyparallel,2024-03-04 15:06:17.077,961965.0,2.0,,,,,,,,,,,,,,,,,,,,
77,IRkernel,R kernel for Jupyter.,https://github.com/IRkernel/IRkernel,,kernels,24,True,,IRkernel/IRkernel,r/r-irkernel,https://github.com/IRkernel/IRkernel,MIT,2014-02-26 02:57:07.000,2024-01-16 22:07:49.699000,2023-03-06 15:57:54,599.0,,293.0,62.0,145.0,70.0,519.0,1670.0,2023-01-20 20:54:32.000,1.3.2,,16564.0,19.0,,,43.0,,,,,https://anaconda.org/r/r-irkernel,2024-01-16 22:07:49.699,147276.0,2.0,,,,,,jupyter/r-notebook,https://hub.docker.com/r/jupyter/r-notebook,2023-10-20 20:02:50.541542,59.0,1837760.0,,,IRkernel,,,,,,,
78,almond,A Scala kernel for Jupyter.,https://github.com/almond-sh/almond,,kernels,24,True,,almond-sh/almond,,https://github.com/almond-sh/almond,BSD-3-Clause,2015-03-10 22:48:50.000,2024-03-06 14:06:51.000000,2024-02-23 13:41:35,1510.0,34.0,242.0,56.0,999.0,128.0,207.0,1565.0,2023-05-15 14:58:56.000,0.13.14,2305.0,207.0,66.0,,,40.0,,,,,,,,2.0,,,,,,almondsh/almond,https://hub.docker.com/r/almondsh/almond,2023-10-19 23:11:45.308515,6.0,18701.0,,,,,,,,,,
79,NBextensions Configurator,A jupyter notebook serverextension providing config interfaces for nbextensions.,https://github.com/Jupyter-contrib/jupyter_nbextensions_configurator,,jupyter-extensions,24,False,jupyter_nbextensions_configurator,jupyter-contrib/jupyter_nbextensions_configurator,conda-forge/jupyter_nbextensions_configurator,https://github.com/Jupyter-contrib/jupyter_nbextensions_configurator,,2016-06-24 22:29:05.000,2024-01-03 14:09:47.000000,2023-09-29 00:14:07,527.0,,120.0,18.0,72.0,64.0,36.0,961.0,2023-05-05 07:10:14.000,0.6.3,,550045.0,14.0,568.0,568.0,24.0,https://pypi.org/project/jupyter_nbextensions_configurator,,,532292.0,https://anaconda.org/conda-forge/jupyter_nbextensions_configurator,2023-06-16 13:20:40.292,1633294.0,2.0,,,,,,,,,,,,,,,,,,,,
