,name,description,homepage,resource,category,projectrank,show,pypi_id,github_id,conda_id,github_url,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,conda_dependent_project_count,updated_github_id,trending,pypi,cran_id,go_id,go_url,gem_id,hex_id,docs_url,bitbucket_id
37,nbgrader,A system for assigning and grading notebooks.,https://github.com/jupyter/nbgrader,,jupyter-extensions,30,True,nbgrader,jupyter/nbgrader,conda-forge/nbgrader,https://github.com/jupyter/nbgrader,BSD-3-Clause,2014-09-13 03:27:36.000,2024-03-28 11:31:46.000000,2024-03-28 10:27:52,3414.0,5.0,310.0,44.0,940.0,256.0,661.0,1251.0,2024-03-26 10:47:37.000,0.9.2,335.0,11992.0,40.0,553.0,531.0,105.0,https://pypi.org/project/nbgrader,2024-03-26 10:47:25.000,22.0,7648.0,https://anaconda.org/conda-forge/nbgrader,2024-03-27 13:36:44.749,156297.0,1.0,,,,,,,,,,,,,,,,,,,,,
38,responsible-ai-widgets,Responsible AI Toolbox is a suite of tools providing model and data exploration and assessment user interfaces and..,https://github.com/microsoft/responsible-ai-toolbox,,widgets,30,True,raiwidgets,microsoft/responsible-ai-toolbox,,https://github.com/microsoft/responsible-ai-toolbox,MIT,2020-07-06 20:46:53.000,2024-03-27 06:38:12.000000,2024-03-05 21:53:14,1943.0,46.0,301.0,23.0,2250.0,81.0,226.0,1175.0,2024-02-09 18:33:49.000,0.34.1,,4839.0,54.0,95.0,92.0,42.0,https://pypi.org/project/raiwidgets,2024-02-09 18:24:31.000,3.0,4839.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,
39,OAuthenticator,OAuth + JupyterHub Authenticator = OAuthenticator.,https://github.com/jupyterhub/oauthenticator,,hub-auth,30,True,oauthenticator,jupyterhub/oauthenticator,conda-forge/oauthenticator,https://github.com/jupyterhub/oauthenticator,BSD-3-Clause,2014-09-23 21:37:06.000,2024-03-23 02:35:17.000000,2024-03-23 02:35:16,1601.0,55.0,359.0,20.0,438.0,54.0,249.0,398.0,2024-03-20 13:45:23.000,16.3.0,,46098.0,45.0,458.0,409.0,121.0,https://pypi.org/project/oauthenticator,2024-03-20 13:45:23.000,49.0,44950.0,https://anaconda.org/conda-forge/oauthenticator,2024-03-20 14:01:34.777,47107.0,1.0,,,,,,,,,,,,,,,,,,,,,
40,sos,SoS workflow system for daily data analysis.,https://github.com/vatlab/sos,,notebook-environments,30,True,sos-notebook,vatlab/SOS,conda-forge/sos,https://github.com/vatlab/sos,BSD-3-Clause,2016-02-13 00:46:46.000,2024-02-19 02:32:18.056000,2024-02-17 22:21:19,7647.0,51.0,42.0,8.0,76.0,65.0,1388.0,262.0,2023-09-25 05:56:08.000,0.24.4,,4642.0,168.0,5588.0,5552.0,36.0,https://pypi.org/project/sos-notebook,2023-09-25 05:56:08.000,36.0,1014.0,https://anaconda.org/conda-forge/sos,2024-02-19 02:32:18.056,166928.0,2.0,,,,,,,,,,,,,,,,,,,,,
41,JupyterLab Debugger,"A visual debugger for Jupyter notebooks, consoles, and source files.",https://github.com/jupyterlab/debugger,,lab-extensions,29,False,,jupyterlab/debugger,,https://github.com/jupyterlab/debugger,BSD-3-Clause,2019-07-19 18:19:17.000,2024-03-25 11:46:16.398000,2021-03-31 14:20:34,1174.0,,3022.0,20.0,322.0,31.0,245.0,13701.0,2024-03-14 17:07:24.008,4.1.5,,72737.0,252.0,11.0,,11.0,,,,,,,,1.0,@jupyterlab/debugger,https://www.npmjs.com/package/@jupyterlab/debugger,2024-03-25 11:46:16.398,11.0,72737.0,,,,,,,,,,,,,,,,
42,Jupyter Themes,Custom Jupyter Notebook Themes.,https://github.com/dunovank/jupyter-themes,,jupyter-extensions,29,True,jupyterthemes,dunovank/jupyter-themes,,https://github.com/dunovank/jupyter-themes,MIT,2014-12-10 23:22:23.000,2023-10-18 13:16:38.000000,2023-10-18 13:16:38,638.0,,1069.0,159.0,79.0,199.0,203.0,9710.0,2018-11-22 17:02:16.000,0.20.0,,126716.0,116.0,145.0,21.0,43.0,https://pypi.org/project/jupyterthemes,2018-11-22 17:02:16.000,124.0,126716.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,
43,nbdev,Create delightful software with Jupyter Notebooks.,https://github.com/fastai/nbdev,,notebook-tools,29,True,nbdev,fastai/nbdev,,https://github.com/fastai/nbdev,Apache-2.0,2019-11-18 17:37:35.000,2024-03-22 10:46:58.000000,2024-03-04 02:09:12,1683.0,2.0,467.0,47.0,544.0,143.0,713.0,4714.0,2023-10-19 04:40:00.000,2.3.13,,66679.0,155.0,155.0,,94.0,https://pypi.org/project/nbdev,2023-10-19 04:40:00.000,155.0,66679.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,
44,BeakerX,Beaker Extensions for Jupyter Notebook.,https://github.com/twosigma/beakerx,,notebook-tools,29,False,beakerx,twosigma/beakerx,conda-forge/beakerx,https://github.com/twosigma/beakerx,Apache-2.0,2013-12-03 14:16:36.000,2024-03-15 15:19:10.000000,2021-01-21 14:02:57,1689.0,,383.0,123.0,3798.0,352.0,4176.0,2793.0,2024-03-15 15:19:10.000,2.4.2,35.0,15603.0,58.0,25.0,,81.0,https://pypi.org/project/beakerx,2024-03-15 15:19:10.000,22.0,5444.0,https://anaconda.org/conda-forge/beakerx,2023-06-16 13:23:56.494,622855.0,2.0,beakerx,https://www.npmjs.com/package/beakerx,2019-04-06 03:31:02.776,3.0,146.0,beakerx/beakerx,https://hub.docker.com/r/beakerx/beakerx,2018-12-02 20:23:21.082606,23.0,249491.0,,,,,,,,,,,
45,repo2docker,Turn repositories into Jupyter-enabled Docker images.,https://github.com/jupyterhub/repo2docker,,notebook-tools,29,True,jupyter-repo2docker,jupyterhub/repo2docker,,https://github.com/jupyterhub/repo2docker,BSD-3-Clause,2017-05-09 08:36:30.000,2024-03-28 13:58:56.000000,2024-03-24 22:08:31,2761.0,41.0,354.0,49.0,809.0,174.0,365.0,1578.0,2023-06-13 07:26:00.805,2023.6.0,,4580.0,20.0,231.0,203.0,123.0,https://pypi.org/project/jupyter-repo2docker,2023-06-13 07:26:00.805,28.0,4580.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,
46,Stencila,"Programmable, reproducible, interactive documents.",https://github.com/stencila/stencila,,notebook-sharing,29,True,,stencila/stencila,,https://github.com/stencila/stencila,Apache-2.0,2012-05-31 02:43:31.000,2024-03-28 11:40:17.000000,2024-03-27 05:48:43,13152.0,1213.0,49.0,28.0,1443.0,106.0,624.0,761.0,2024-03-06 01:58:19.000,2.0.0-alpha.25,4275.0,337.0,100.0,30.0,20.0,44.0,,,,,,,,2.0,stencila,https://www.npmjs.com/package/stencila,2020-11-06 15:20:04.059,10.0,80.0,stencila/cloud,https://hub.docker.com/r/stencila/cloud,2019-04-08 04:14:51.284193,,16469.0,,,,,,,,,,,
47,KubeSpawner,Kubernetes spawner for JupyterHub.,https://github.com/jupyterhub/kubespawner,,hub-spawners,29,True,jupyterhub-kubespawner,jupyterhub/kubespawner,conda-forge/jupyterhub-kubespawner,https://github.com/jupyterhub/kubespawner,BSD-3-Clause,2015-11-21 07:02:52.000,2024-03-28 08:48:00.000000,2024-03-28 08:47:59,1602.0,18.0,304.0,28.0,466.0,85.0,285.0,517.0,2023-11-23 11:08:31.000,6.2.0,,15906.0,38.0,175.0,160.0,84.0,https://pypi.org/project/jupyterhub-kubespawner,2023-11-23 11:08:31.000,15.0,15327.0,https://anaconda.org/conda-forge/jupyterhub-kubespawner,2023-11-23 12:55:19.939,20873.0,1.0,,,,,,,,,,,,,,,,,,,,,
48,DockerSpawner,Spawns JupyterHub single user servers in Docker containers.,https://github.com/jupyterhub/dockerspawner,,hub-spawners,29,True,dockerspawner,jupyterhub/dockerspawner,conda-forge/dockerspawner,https://github.com/jupyterhub/dockerspawner,BSD-3-Clause,2014-09-26 20:08:26.000,2024-02-13 09:36:38.000000,2024-02-01 09:28:10,725.0,6.0,309.0,27.0,243.0,25.0,252.0,472.0,2023-11-21 14:14:18.000,13.0.0,,67182.0,17.0,213.0,185.0,69.0,https://pypi.org/project/dockerspawner,2023-11-21 14:14:18.000,28.0,66509.0,https://anaconda.org/conda-forge/dockerspawner,2023-11-21 14:56:25.623,20877.0,1.0,,,,,,,,,,,,,,,,,,,,,
49,JupyterLab TOC,Table of Contents extension for JupyterLab.,https://github.com/jupyterlab/jupyterlab-toc,,lab-extensions,28,False,,jupyterlab/jupyterlab-toc,,https://github.com/jupyterlab/jupyterlab-toc,BSD-3-Clause,2018-03-12 15:55:19.000,2024-03-25 11:52:13.530000,2021-08-10 23:33:21,523.0,,3022.0,30.0,63.0,64.0,51.0,13701.0,2024-03-14 17:14:04.161,6.1.5,,117416.0,243.0,19.0,,14.0,,,,,,,,1.0,@jupyterlab/toc,https://www.npmjs.com/package/@jupyterlab/toc,2024-03-25 11:52:13.530,19.0,117416.0,,,,,,,,9.0,,,,,,,,
50,facets-overview,Visualizations for machine learning datasets.,https://github.com/PAIR-code/facets,,widgets,28,True,facets-overview,pair-code/facets,,https://github.com/PAIR-code/facets,Apache-2.0,2017-07-07 14:03:03.000,2023-05-24 15:58:01.158000,2023-05-24 15:56:22,277.0,,909.0,267.0,98.0,82.0,81.0,7305.0,2023-05-24 15:58:01.158,1.1.1,,273620.0,9.0,234.0,226.0,31.0,https://pypi.org/project/facets-overview,2023-05-24 15:58:01.158,8.0,273620.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,
51,dtale,Visualizer for pandas data structures.,https://github.com/man-group/dtale,,jupyter-extensions,28,False,dtale,man-group/dtale,conda-forge/dtale,https://github.com/man-group/dtale,LGPL-2.1,2019-07-15 09:34:48.000,2024-03-16 23:51:50.000000,2024-03-06 14:52:20,787.0,13.0,374.0,74.0,285.0,60.0,508.0,4514.0,2024-03-07 14:03:25.000,3.11.0,,70659.0,181.0,23.0,,30.0,https://pypi.org/project/dtale,2024-03-07 14:02:27.000,23.0,64852.0,https://anaconda.org/conda-forge/dtale,2024-03-07 14:28:38.963,267159.0,2.0,,,,,,,,,,,,,-3.0,,,,,,,,
52,elyra,Elyra extends JupyterLab with an AI centric approach.,https://github.com/elyra-ai/elyra,,lab-extensions,28,True,elyra,elyra-ai/elyra,conda-forge/elyra,https://github.com/elyra-ai/elyra,Apache-2.0,2019-10-22 21:37:58.000,2024-03-16 01:46:14.000000,2024-03-08 16:40:28,1913.0,5.0,324.0,43.0,1485.0,278.0,1357.0,1757.0,2023-03-29 14:23:28.000,3.15.0,,4463.0,126.0,64.0,54.0,63.0,https://pypi.org/project/elyra,2023-03-29 00:28:01.071,3.0,3268.0,https://anaconda.org/conda-forge/elyra,2023-06-16 19:21:23.887,43921.0,1.0,@elyra/services,https://www.npmjs.com/package/@elyra/services,2023-03-29 00:30:07.768,7.0,174.0,,,,,,,,,,,,,,,,
53,nbval,A py.test plugin to validate Jupyter notebooks.,https://github.com/computationalmodelling/nbval,,notebook-tools,28,True,nbval,computationalmodelling/nbval,conda-forge/nbval,https://github.com/computationalmodelling/nbval,BSD-3-Clause,2015-04-09 09:40:33.000,2024-03-04 16:04:14.390000,2024-03-04 14:35:29,475.0,10.0,51.0,11.0,98.0,48.0,66.0,429.0,2024-03-04 14:36:57.000,0.11.0,,195706.0,21.0,3309.0,2935.0,33.0,https://pypi.org/project/nbval,2024-03-04 14:36:57.000,374.0,186104.0,https://anaconda.org/conda-forge/nbval,2024-03-04 16:04:14.390,422523.0,2.0,,,,,,,,,,,,,,,,,,,,,
54,Jupyter Sphinx,Sphinx extension for rendering of Jupyter interactive widgets.,https://github.com/jupyter/jupyter-sphinx,,notebook-tools,28,True,jupyter_sphinx,jupyter/jupyter-sphinx,conda-forge/jupyter_sphinx,https://github.com/jupyter/jupyter-sphinx,BSD-3-Clause,2016-11-15 18:36:37.000,2024-03-23 15:48:27.000000,2024-03-23 15:48:27,433.0,17.0,65.0,24.0,122.0,59.0,109.0,181.0,2023-12-28 12:19:39.000,0.5.3,,78623.0,21.0,291.0,,28.0,https://pypi.org/project/jupyter_sphinx,2023-12-28 12:19:39.000,291.0,73114.0,https://anaconda.org/conda-forge/jupyter_sphinx,2024-01-27 18:09:27.331,242402.0,2.0,,,,,,,,,,,,,,,,,,,,,
55,nbdime,Tools for diffing and merging of Jupyter notebooks.,https://github.com/jupyter/nbdime,,notebook-sharing,27,False,nbdime,jupyter/nbdime,conda-forge/nbdime,https://github.com/jupyter/nbdime,,2015-11-16 09:25:53.000,2024-03-16 19:02:57.000000,2023-11-21 09:21:22,2132.0,,148.0,42.0,413.0,74.0,263.0,2588.0,2023-11-21 09:21:51.000,4.0.1,125.0,259715.0,25.0,137.0,137.0,50.0,https://pypi.org/project/nbdime,,,205272.0,https://anaconda.org/conda-forge/nbdime,2023-11-21 14:11:17.594,979554.0,2.0,nbdime-jupyterlab,https://www.npmjs.com/package/nbdime-jupyterlab,,,30541.0,,,,,,,,-4.0,,,,,,,,
56,docker-python,Kaggle Python docker image.,https://github.com/Kaggle/docker-python,,notebook-environments,27,True,,kaggle/docker-python,,https://github.com/Kaggle/docker-python,Apache-2.0,2015-04-14 01:45:38.000,2024-03-27 23:57:56.000000,2024-03-23 02:09:03,2343.0,45.0,957.0,93.0,1014.0,34.0,316.0,2511.0,2024-03-18 20:45:05.000,45320bc94d7fa3ffdd32fef6b9e5de7cc37a66113392d3aaaffef0ce06baa060,,1827.0,100.0,,,158.0,,,,,,,,3.0,,,,,,kaggle/python,https://hub.docker.com/r/kaggle/python,2024-03-18 20:52:55.803428,182.0,195595.0,,,,,,,,,,,
57,PixieDust,Python Helper library for Jupyter Notebooks.,https://github.com/pixiedust/pixiedust,,notebook-tools,27,False,pixiedust,pixiedust/pixiedust,conda-forge/pixiedust,https://github.com/pixiedust/pixiedust,Apache-2.0,2016-07-01 17:34:14.000,2023-06-16 16:19:15.930000,2021-02-16 04:46:41,2157.0,,162.0,42.0,374.0,164.0,261.0,1035.0,2021-02-01 03:34:36.000,1.1.19,,11329.0,92.0,292.0,263.0,33.0,https://pypi.org/project/pixiedust,2021-02-01 03:34:36.000,29.0,10384.0,https://anaconda.org/conda-forge/pixiedust,2023-06-16 16:19:15.930,49160.0,2.0,,,,,,,,,,,,,,,,,,,,,
58,jupyter-dash,OBSOLETE - Dash v2.11+ has Jupyter support built in!.,https://github.com/plotly/jupyter-dash,,widgets,27,True,jupyter-dash,plotly/jupyter-dash,conda-forge/jupyter-dash,https://github.com/plotly/jupyter-dash,MIT,2020-04-26 18:43:59.000,2024-03-20 19:44:49.000000,2023-08-11 17:18:48,162.0,,237.0,45.0,49.0,52.0,29.0,945.0,2022-04-01 20:13:44.000,0.4.2,99.0,184769.0,14.0,3804.0,3728.0,10.0,https://pypi.org/project/jupyter-dash,2022-04-01 20:05:08.000,73.0,173825.0,https://anaconda.org/conda-forge/jupyter-dash,2023-06-16 19:23:51.624,356743.0,2.0,jupyterlab-dash,https://www.npmjs.com/package/jupyterlab-dash,2021-01-22 17:06:54.671,3.0,2024.0,,,,,,,,,,,,,,,,
59,pythreejs,A Jupyter - Three.js bridge.,https://github.com/jupyter-widgets/pythreejs,,widgets,27,False,pythreejs,jupyter-widgets/pythreejs,conda-forge/pythreejs,https://github.com/jupyter-widgets/pythreejs,BSD-3-Clause,2013-12-23 17:02:11.000,2023-06-16 13:16:30.947000,2023-02-20 00:24:10,1723.0,,185.0,40.0,173.0,61.0,174.0,921.0,2023-02-20 00:24:01.104,2.4.2,,92578.0,46.0,103.0,30.0,30.0,https://pypi.org/project/pythreejs,2023-02-20 00:24:01.104,61.0,84014.0,https://anaconda.org/conda-forge/pythreejs,2023-06-16 13:16:30.947,525195.0,2.0,jupyter-threejs,https://www.npmjs.com/package/jupyter-threejs,2023-02-20 00:16:17.277,12.0,2977.0,,,,,,,,,,,,,,,,
60,nglview,Jupyter widget to interactively view molecular structures and trajectories.,https://github.com/nglviewer/nglview,,widgets,27,True,nglview,nglviewer/nglview,conda-forge/nglview,https://github.com/nglviewer/nglview,MIT,2015-11-09 16:48:57.000,2024-03-08 22:52:42.000000,2024-03-03 15:27:38,1444.0,8.0,130.0,24.0,615.0,28.0,456.0,771.0,2024-03-03 15:40:25.000,3.1.2,288.0,34130.0,84.0,77.0,4.0,38.0,https://pypi.org/project/nglview,2024-03-03 15:40:25.000,68.0,13434.0,https://anaconda.org/conda-forge/nglview,2024-03-03 17:47:54.218,715517.0,2.0,nglview-js-widgets,https://www.npmjs.com/package/nglview-js-widgets,2024-01-10 20:34:58.970,5.0,4794.0,,,,,,,,4.0,,,,,,,,
61,itkwidgets,An elegant Python interface for visualization on the web platform to interactively generate insights into..,https://github.com/InsightSoftwareConsortium/itkwidgets,,widgets,27,True,itkwidgets,InsightSoftwareConsortium/itkwidgets,conda-forge/itkwidgets,https://github.com/InsightSoftwareConsortium/itkwidgets,Apache-2.0,2018-02-15 01:43:39.000,2024-03-08 20:51:51.000000,2024-03-08 20:50:26,615.0,33.0,83.0,26.0,465.0,114.0,162.0,569.0,2023-03-02 22:39:43.651,0.32.6,88.0,20343.0,118.0,315.0,294.0,27.0,https://pypi.org/project/itkwidgets,2024-03-08 20:51:51.000,18.0,14570.0,https://anaconda.org/conda-forge/itkwidgets,2023-06-16 16:12:17.646,347327.0,2.0,itkwidgets,https://www.npmjs.com/package/itkwidgets,2023-03-02 22:39:43.651,3.0,346.0,,,,,,,,,,,,,,,,
62,Metakernel,Jupyter/IPython Kernel Tools.,https://github.com/Calysto/metakernel,,kernels,27,True,metakernel,Calysto/metakernel,conda-forge/metakernel,https://github.com/Calysto/metakernel,BSD-3-Clause,2014-08-24 20:53:45.000,2024-03-26 18:46:54.233000,2024-03-26 16:33:03,1154.0,4.0,86.0,17.0,131.0,31.0,116.0,333.0,2024-03-26 16:33:26.000,0.30.2,165.0,46669.0,100.0,937.0,859.0,34.0,https://pypi.org/project/metakernel,2024-03-26 16:33:16.000,78.0,28815.0,https://anaconda.org/conda-forge/metakernel,2024-03-26 18:46:54.233,767549.0,1.0,,,,,,,,,,,,,,,,,,,,,
63,mkdocs-jupyter,Use Jupyter Notebook in mkdocs.,https://github.com/danielfrg/mkdocs-jupyter,,notebook-sharing,27,True,mkdocs-jupyter,danielfrg/mkdocs-jupyter,conda-forge/mkdocs-jupyter,https://github.com/danielfrg/mkdocs-jupyter,Apache-2.0,2019-12-18 02:11:34.000,2024-02-14 03:18:21.000000,2024-02-14 03:18:20,233.0,4.0,39.0,5.0,78.0,22.0,92.0,324.0,2023-10-15 18:55:37.000,0.24.6,,148099.0,35.0,2263.0,2114.0,21.0,https://pypi.org/project/mkdocs-jupyter,2023-10-15 18:55:37.000,149.0,146703.0,https://anaconda.org/conda-forge/mkdocs-jupyter,2023-10-15 20:44:27.551,55840.0,2.0,,,,,,,,,,,,,,,,,,,,,
64,jupyter-console,Jupyter Terminal Console.,https://github.com/jupyter/jupyter_console,,others,27,True,jupyter-console,jupyter/jupyter_console,conda-forge/jupyter_console,https://github.com/jupyter/jupyter_console,BSD-3-Clause,2015-04-09 06:58:55.000,2023-09-13 20:27:19.000000,2023-03-06 14:13:15,629.0,,152.0,28.0,141.0,67.0,94.0,242.0,2023-03-06 14:15:13.579,6.6.3,372.0,4683538.0,26.0,122.0,,60.0,https://pypi.org/project/jupyter-console,2023-03-06 14:15:13.579,122.0,4638050.0,https://anaconda.org/conda-forge/jupyter_console,2023-06-16 13:18:03.803,4320024.0,2.0,,,,,,,,,,,,,4.0,,,,,,,,
65,jdaviz,JWST astronomical data analysis tools in the Jupyter platform.,https://github.com/spacetelescope/jdaviz,,widgets,27,True,jdaviz,spacetelescope/jdaviz,,https://github.com/spacetelescope/jdaviz,BSD-3-Clause,2019-05-07 17:54:06.000,2024-03-28 14:18:07.000000,2024-03-28 14:18:07,5019.0,299.0,56.0,19.0,1780.0,324.0,663.0,118.0,2024-02-23 18:49:23.000,3.8.2,,1140.0,40.0,44.0,41.0,32.0,https://pypi.org/project/jdaviz,2024-02-23 18:58:33.000,3.0,1140.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,
66,Evcxr,"An evaluation context for Rust, including a Jupyter Kernel.",https://github.com/evcxr/evcxr,,kernels,26,True,,evcxr/evcxr,,https://github.com/evcxr/evcxr,MIT,2018-09-25 10:19:22.000,2024-03-06 01:27:19.000000,2024-03-06 01:26:25,692.0,10.0,209.0,56.0,101.0,98.0,144.0,5132.0,2023-12-17 00:16:37.000,0.17.0,4010.0,222.0,7.0,161.0,161.0,49.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
67,lux,Automatically visualize your pandas dataframe via a single print!.,https://github.com/lux-org/lux,,widgets,26,True,lux-api,lux-org/lux,conda-forge/lux-api,https://github.com/lux-org/lux,Apache-2.0,2020-01-08 04:53:29.000,2024-03-20 15:48:47.000000,2023-07-04 23:34:35,692.0,,354.0,90.0,263.0,81.0,160.0,4902.0,2022-02-19 00:48:20.000,0.5.1,,4590.0,18.0,187.0,183.0,21.0,https://pypi.org/project/lux-api,2022-02-19 00:46:49.000,2.0,3678.0,https://anaconda.org/conda-forge/lux-api,2023-06-16 19:24:44.344,22092.0,2.0,luxwidget,https://www.npmjs.com/package/luxwidget,2022-02-17 19:41:18.102,2.0,315.0,,,,,,,,,,,,,,,,
68,qgrid,"An interactive grid for sorting, filtering, and editing DataFrames in Jupyter notebooks.",https://github.com/quantopian/qgrid,,widgets,26,False,qgrid,quantopian/qgrid,conda-forge/qgrid,https://github.com/quantopian/qgrid,Apache-2.0,2014-09-30 04:33:20.000,2024-01-12 07:28:07.000000,2020-04-07 18:56:49,405.0,,424.0,88.0,105.0,178.0,127.0,3022.0,2020-04-07 16:43:54.000,1.3.1,,50769.0,73.0,103.0,12.0,30.0,https://pypi.org/project/qgrid,2020-04-07 16:43:54.000,87.0,44908.0,https://anaconda.org/conda-forge/qgrid,2023-06-16 16:08:00.950,401649.0,2.0,qgrid,https://www.npmjs.com/package/qgrid,2018-07-11 05:36:40.781,4.0,359.0,,,,,,,,,,,,,,,,
69,DataLab,Interactive tools and developer experiences for Big Data on Google Cloud Platform.,https://github.com/googledatalab/datalab,,notebook-environments,26,False,datalab,googledatalab/datalab,,https://github.com/googledatalab/datalab,Apache-2.0,2014-08-06 18:37:34.000,2022-09-02 21:15:20.926000,2022-09-02 20:50:03,2055.0,,261.0,81.0,1293.0,232.0,667.0,977.0,2022-09-02 21:15:20.926,1.2.1,,84273.0,19.0,12.0,,53.0,https://pypi.org/project/datalab,2022-09-02 21:15:20.926,12.0,84273.0,,,,3.0,,,,,,,,,,,,,,,,,,,,,
70,NBextensions Configurator,A jupyter notebook serverextension providing config interfaces for nbextensions.,https://github.com/Jupyter-contrib/jupyter_nbextensions_configurator,,jupyter-extensions,26,True,jupyter_nbextensions_configurator,jupyter-contrib/jupyter_nbextensions_configurator,conda-forge/jupyter_nbextensions_configurator,https://github.com/Jupyter-contrib/jupyter_nbextensions_configurator,BSD-3-Clause,2016-06-24 22:29:05.000,2024-01-03 14:09:47.000000,2023-09-29 00:14:07,527.0,,120.0,18.0,72.0,66.0,36.0,963.0,2023-05-05 07:10:14.000,0.6.3,,608405.0,18.0,594.0,575.0,24.0,https://pypi.org/project/jupyter_nbextensions_configurator,2023-05-05 07:04:01.205,19.0,590565.0,https://anaconda.org/conda-forge/jupyter_nbextensions_configurator,2023-06-16 13:20:40.292,1641313.0,2.0,,,,,,,,,,,,,,,,,,,,,
71,nbQA,"Run ruff, isort, pyupgrade, mypy, pylint, flake8, and more on Jupyter Notebooks.",https://github.com/nbQA-dev/nbQA,,notebook-tools,26,True,nbqa,nbQA-dev/nbQA,conda-forge/nbqa,https://github.com/nbQA-dev/nbQA,MIT,2020-07-11 15:30:54.000,2024-03-26 13:53:08.727000,2024-03-26 11:09:05,718.0,18.0,38.0,8.0,558.0,8.0,284.0,947.0,2024-03-26 11:10:46.000,1.8.5,,156056.0,92.0,42.0,,33.0,https://pypi.org/project/nbqa,2024-03-26 11:10:19.000,42.0,152683.0,https://anaconda.org/conda-forge/nbqa,2024-03-26 13:53:08.727,138299.0,2.0,,,,,,,,,,,,,,,,,,,,,
72,LFortran,Official main repository for LFortran.,https://github.com/lfortran/lfortran,,kernels,26,False,lfortran,lfortran/lfortran,conda-forge/lfortran,https://github.com/lfortran/lfortran,,2019-03-24 13:22:20.000,2024-03-28 12:10:52.000000,2024-03-28 09:04:13,15391.0,1319.0,115.0,22.0,1883.0,1011.0,836.0,852.0,2024-03-23 14:29:16.000,0.34.0,849.0,2019.0,35.0,,,76.0,https://pypi.org/project/lfortran,,,67.0,https://anaconda.org/conda-forge/lfortran,2024-03-24 02:20:42.212,80633.0,1.0,,,,,,,,,,,,,,,,,,,,,
73,itables,Pandas DataFrames as Interactive DataTables.,https://github.com/mwouts/itables,,widgets,26,True,itables,mwouts/itables,conda-forge/itables,https://github.com/mwouts/itables,MIT,2019-04-15 22:09:44.000,2024-03-26 22:18:12.000000,2024-03-26 22:01:50,236.0,17.0,49.0,11.0,124.0,16.0,111.0,623.0,2024-03-16 14:55:35.000,2.0.0,,187597.0,53.0,480.0,456.0,6.0,https://pypi.org/project/itables,2024-03-16 14:55:35.000,24.0,185967.0,https://anaconda.org/conda-forge/itables,2024-03-16 15:50:56.773,42383.0,2.0,,,,,,,,,,,,,,,,,,,,,
74,Resource Usage,Jupyter Notebook Extension for monitoring your own Resource Usage.,https://github.com/jupyter-server/jupyter-resource-usage,,jupyter-extensions,26,True,jupyter-resource-usage,jupyter-server/jupyter-resource-usage,conda-forge/nbresuse,https://github.com/jupyter-server/jupyter-resource-usage,BSD-2-Clause,2016-04-22 07:01:34.000,2024-03-17 18:45:28.000000,2024-03-12 17:29:48,382.0,6.0,100.0,9.0,142.0,43.0,47.0,437.0,2024-03-12 17:30:10.000,1.0.2,272.0,70506.0,14.0,589.0,578.0,34.0,https://pypi.org/project/jupyter-resource-usage,2024-03-12 17:30:04.000,8.0,54925.0,https://anaconda.org/conda-forge/nbresuse,2023-06-16 19:18:24.900,559946.0,2.0,@jupyter-server/resource-usage,https://www.npmjs.com/package/@jupyter-server/resource-usage,2024-03-12 17:30:01.111,3.0,3910.0,,,,,,,,,,,,,,,,
75,jupyter-server-proxy,Jupyter notebook server extension to proxy web services.,https://github.com/jupyterhub/jupyter-server-proxy,,jupyter-extensions,26,True,jupyter-server-proxy,jupyterhub/jupyter-server-proxy,conda-forge/jupyter-server-proxy,https://github.com/jupyterhub/jupyter-server-proxy,BSD-3-Clause,2016-10-18 22:02:06.000,2024-03-19 21:28:57.000000,2024-03-19 21:22:43,1091.0,37.0,136.0,18.0,271.0,74.0,129.0,323.0,2024-03-13 22:05:01.000,4.1.2,,222521.0,33.0,147.0,4.0,71.0,https://pypi.org/project/jupyter-server-proxy,2024-03-13 22:05:01.000,139.0,184547.0,https://anaconda.org/conda-forge/jupyter-server-proxy,2024-03-19 21:18:29.998,1461826.0,2.0,@jupyterlab/server-proxy,https://www.npmjs.com/package/@jupyterlab/server-proxy,2024-03-13 09:10:53.274,4.0,6196.0,,,,,,,,,,,,,,,,
